Sample,latitude,longitude,elev_m,max_depth_cm,slope_perc,Horizon,landform,Mapped.Lithologic.unit,Parent.Material,bulk.density.vol.cm3,bulk.density.g.cm3,pH,soilmoisture_perc,TC_perc,OC_perc,Nitrogen_ppm,TN_perc,TC_perc_2
HLEF-19-58,58.36696,-134.535614,218,20,34,Oa,backslope,Taku,colluvium,125,0.5,,,,,,,
HLEF-19-59,58.36696,-134.535614,218,24,34,E,backslope,Taku,colluvium,138.5,0.58,,,,,,,
HLEF-19-60,58.36696,-134.535614,218,24,34,E,backslope,Taku,colluvium,138.5,0.58,,,,,,,
HLEF-19-61,58.36696,-134.535614,218,29,34,Bhs,backslope,Taku,colluvium,138.5,0.44,,,,,,,
HLEF-19-62,58.36696,-134.535614,218,29,34,Bhs,backslope,Taku,colluvium,138.5,0.57,,,,,,,
HLEF-19-63,58.36696,-134.535614,218,29,34,Bhs,backslope,Taku,colluvium,138.5,0.47,,,,,,,
HLEF-19-64,58.36696,-134.535614,218,29,34,Bhs,backslope,Taku,colluvium,138.5,0.46,,,,,,,
HLEF-19-65,58.36696,-134.535614,218,37,34,B/C,backslope,Taku,colluvium,138.5,0.36,,,,,,,
HLEF-19-66,58.36696,-134.535614,218,37,34,B/C,backslope,Taku,colluvium,138.5,0.35,,,,,,,
HLEF-19-67,58.36356,-134.535614,110,13,31,Oi,backslope,Gravina,colluvium,125,0.16,3.88,,,,,1.527,45.537
HLEF-19-68,58.36356,-134.535614,110,20,31,Bh,backslope,Gravina,colluvium,138.5,0.47,3.99,,,,,0.303,8.238
HLEF-19-69,58.36356,-134.535614,110,26,31,Bhs,backslope,Gravina,colluvium,138.5,0.48,4.38,,,,,0.161,4.39
HLEF-19-70,58.36356,-134.535614,110,34,31,Bs,backslope,Gravina,colluvium,138.5,,4.56,,,,,0.115,2.904
HLEF-19-71,58.36356,-134.535614,110,44,31,2Cr,backslope,Gravina,residuum,,,4.77,,,,,,
HLEF-19-72,58.36356,-134.535614,110,44,31,2R,backslope,Gravina,rock,,,,,,,,0,0.17
HLEF-19-73,58.36356,-134.535614,110,13,31,Oi,backslope,Gravina,colluvium,125,0.17,,,,,,,
HLEF-19-74,58.36356,-134.535614,110,13,31,Oi,backslope,Gravina,colluvium,125,0.16,,,,,,,
HLEF-19-75,58.36356,-134.535614,110,34,31,Bhs/Bs,backslope,Gravina,colluvium,138.5,0.49,,,,,,,
HLEF-19-76,58.36356,-134.535614,110,34,31,Bhs/Bs,backslope,Gravina,colluvium,138.5,0.46,,,,,,,
HLEF-19-77,58.36356,-134.535614,110,20,31,Bh,backslope,Gravina,colluvium,138.5,0.45,,,,,,,
HLEF-19-78,58.36356,-134.535614,110,20,31,Bh,backslope,Gravina,colluvium,138.5,0.49,,,,,,,
HLEF-19-79,58.65214,-134.8457,630,,55,2C3,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,,,5.66,,,,,0.028,0.665
HLEF-19-80,58.65214,-134.8457,630,87,55,2C2,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.63,5.54,,,,,0.038,0.841
HLEF-19-81,58.65214,-134.8457,630,62,55,2C,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.17,5.51,,,,,0.157,4.115
HLEF-19-82,58.65214,-134.8457,630,55,55,B/C,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,,5.38,,,,,0.157,4.228
HLEF-19-83,58.65214,-134.8457,630,47,55,Bhs2,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.39,5.33,,,,,0.18,4.277
HLEF-19-84,58.65214,-134.8457,630,28,55,Bhs,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.39,5.07,,,,,0.184,4.267
HLEF-19-85,58.65214,-134.8457,630,16,55,E/Bh,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,125,0.05,4.16,,,,,0.33,6.55
HLEF-19-86,58.65214,-134.8457,630,87,55,2C2,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.63,,,,,,,
HLEF-19-87,58.65214,-134.8457,630,62,55,2C,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.17,,,,,,,
HLEF-19-88,58.65214,-134.8457,630,47,55,Bhs2,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.39,,,,,,,
HLEF-19-89,58.65214,-134.8457,630,28,55,Bhs,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.45,,,,,,,
HLEF-19-90,58.65214,-134.8457,630,28,55,Bhs,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,138.5,0.34,,,,,,,
HLEF-19-91,58.65214,-134.8457,630,28,55,Oa,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,125,0.06,,,,,,,
HLEF-19-92,58.65214,-134.8457,630,28,55,Oa,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,125,0.04,,,,,,,
HLEF-19-93,58.65214,-134.8457,630,10,55,Oe,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,125,0.02,,,,,,,
HLEF-19-94,58.65214,-134.8457,630,10,55,Oe,backslope,Taku+Tonalite,Slate> Tonalite - Colluvium,125,0.02,,,,,,,
HLEF-19-95,58.64888,-134.839706,760,70,0,Bs,backslope,Taku+Tonalite,Slate > Tonalite - Till,138.5,1.52,,,,,,,
HLEF-19-96,58.64888,-134.839706,760,70,0,Bs,backslope,Taku+Tonalite,Slate > Tonalite - Till,138.5,0.55,,,,,,,
HLEF-19-97,58.64888,-134.839706,760,70,0,Bs,backslope,Taku+Tonalite,Slate > Tonalite - Till,138.5,0.42,,,,,,,
HLEF-19-98,58.37764,-134.54618,250,4,65,O,backslope,Taku,Slate or Phyllite - Colluvium,,,4.55,,,,,1.395,41.231
HLEF-19-99,58.37764,-134.54618,250,9,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.48,4.66,,,,,0.237,4.328
HLEF-19-100,58.37764,-134.54618,250,15,65,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.43,4.91,,,,,0.218,4.622
HLEF-19-101,58.37764,-134.54618,250,48,65,2 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.51,5.01,,,,,0.126,1.601
HLEF-19-102,58.37764,-134.54618,250,87,65,3 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.6,5.13,,,,,0.079,1.082
HLEF-19-103,58.37764,-134.54618,250,,65,4 C/R,backslope,Taku,Slate or Phyllite - Colluvium,,,,,,,,0.044,0.383
HLEF-19-104,58.37764,-134.54618,250,9,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.49,,,,,,,
